SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB10420	uSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pseudomonadales-f__Moraxellaceae-g__GGB7107-s__GGB7107_SGB10420-t__SGB10420	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	GGB7107	GGB7107_SGB10420	SGB10420
SGB12664	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Comamonadaceae-g__Ottowia-s__Ottowia_sp_Marseille_P4747-t__SGB12664	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia_sp_Marseille_P4747	SGB12664
SGB1315	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB494-o__OFGB494-f__FGB494-g__GGB1022-s__GGB1022_SGB1315-t__SGB1315	Bacteria	Bacteroidetes	CFGB494	OFGB494	FGB494	GGB1022	GGB1022_SGB1315	SGB1315
SGB13164	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Burkholderiaceae-g__Lautropia-s__Lautropia_sp_KCOM_2505-t__SGB13164	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia_sp_KCOM_2505	SGB13164
SGB13165	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Burkholderiaceae-g__Lautropia-s__Lautropia_mirabilis-t__SGB13165	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia_mirabilis	SGB13165
SGB1320	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB496-o__OFGB496-f__FGB496-g__GGB1025-s__GGB1025_SGB1320-t__SGB1320	Bacteria	Bacteroidetes	CFGB496	OFGB496	FGB496	GGB1025	GGB1025_SGB1320	SGB1320
SGB1321	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB497-o__OFGB497-f__FGB497-g__GGB1026-s__GGB1026_SGB1321-t__SGB1321	Bacteria	Bacteroidetes	CFGB497	OFGB497	FGB497	GGB1026	GGB1026_SGB1321	SGB1321
SGB1341	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidetes_unclassified-o__Bacteroidetes_unclassified-f__Bacteroidetes_unclassified-g__Bacteroidetes_unclassified-s__Bacteroidetes_oral_taxon_274-t__SGB1341	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_oral_taxon_274	SGB1341
SGB1343	uSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidetes_unclassified-o__Bacteroidetes_unclassified-f__Bacteroidetes_unclassified-g__Bacteroidetes_unclassified-s__Bacteroidetes_unclassified_SGB1343-t__SGB1343	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified_SGB1343	SGB1343
SGB1395	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB524-o__OFGB524-f__FGB524-g__GGB1088-s__GGB1088_SGB1395-t__SGB1395	Bacteria	Bacteroidetes	CFGB524	OFGB524	FGB524	GGB1088	GGB1088_SGB1395	SGB1395
SGB1411	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Alloprevotella-s__Alloprevotella_tannerae-t__SGB1411	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella_tannerae	SGB1411
SGB1454	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_saccharolytica-t__SGB1454	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_saccharolytica	SGB1454
SGB1456	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_shahii-t__SGB1456	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_shahii	SGB1456
SGB1457	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_loescheii-t__SGB1457	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_loescheii	SGB1457
SGB1464	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Alloprevotella-s__Prevotella_sp_oral_taxon_473-t__SGB1464	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Prevotella_sp_oral_taxon_473	SGB1464
SGB1465	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotellaceae_unclassified-s__Prevotellaceae_bacterium_Marseille_P2826-t__SGB1465	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_unclassified	Prevotellaceae_bacterium_Marseille_P2826	SGB1465
SGB1466	uSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Alloprevotella-s__Alloprevotella_SGB1466-t__SGB1466	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella_SGB1466	SGB1466
SGB1468	uSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__GGB1144-s__GGB1144_SGB1468-t__SGB1468	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	GGB1144	GGB1144_SGB1468	SGB1468
SGB1469	uSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__GGB1144-s__GGB1144_SGB1469-t__SGB1469	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	GGB1144	GGB1144_SGB1469	SGB1469
SGB1485	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Alloprevotella-s__Alloprevotella_rava-t__SGB1485	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella_rava	SGB1485
SGB1520	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_oulorum-t__SGB1520	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_oulorum	SGB1520
SGB1521	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_sp_HJM029-t__SGB1521	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_sp_HJM029	SGB1521
SGB1522	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_salivae-t__SGB1522	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_salivae	SGB1522
SGB1524	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_maculosa-t__SGB1524	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_maculosa	SGB1524
SGB1525	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_oris-t__SGB1525	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_oris	SGB1525
SGB1526	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_pleuritidis-t__SGB1526	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_pleuritidis	SGB1526
SGB1535	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_sp_oral_taxon_299-t__SGB1535	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_sp_oral_taxon_299	SGB1535
SGB1536	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_nanceiensis-t__SGB1536	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_nanceiensis	SGB1536
SGB1540	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_denticola-t__SGB1540	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_denticola	SGB1540
SGB1541	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_veroralis-t__SGB1541	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_veroralis	SGB1541
SGB1542	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_sp_oral_taxon_306-t__SGB1542	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_sp_oral_taxon_306	SGB1542
SGB1543	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_histicola-t__SGB1543	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_histicola	SGB1543
SGB1544	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_scopos-t__SGB1544	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_scopos	SGB1544
SGB1545	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_jejuni-t__SGB1545	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_jejuni	SGB1545
SGB1547	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_sp_F0091-t__SGB1547	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_sp_F0091	SGB1547
SGB15494	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Bifidobacteriales-f__Bifidobacteriaceae-g__Scardovia-s__Scardovia_wiggsiae-t__SGB15494	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia_wiggsiae	SGB15494
SGB1554	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_melaninogenica-t__SGB1554	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_melaninogenica	SGB1554
SGB1560	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_intermedia-t__SGB1560	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_intermedia	SGB1560
SGB1561	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_nigrescens-t__SGB1561	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_nigrescens	SGB1561
SGB1564	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_pallens-t__SGB1564	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_pallens	SGB1564
SGB1565	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Prevotellaceae-g__Prevotella-s__Prevotella_micans-t__SGB1565	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_micans	SGB1565
SGB1568	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB570-o__OFGB570-f__FGB570-g__GGB1203-s__GGB1203_SGB1568-t__SGB1568	Bacteria	Bacteroidetes	CFGB570	OFGB570	FGB570	GGB1203	GGB1203_SGB1568	SGB1568
SGB15872	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_oral_taxon_448-t__SGB15872	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_oral_taxon_448	SGB15872
SGB15873	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_massiliensis-t__SGB15873	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_massiliensis	SGB15873
SGB15874	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_gerencseriae-t__SGB15874	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_gerencseriae	SGB15874
SGB15877	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_dentalis-t__SGB15877	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_dentalis	SGB15877
SGB15878	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_oris-t__SGB15878	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_oris	SGB15878
SGB15886	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_oral_taxon_170-t__SGB15886	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_oral_taxon_170	SGB15886
SGB15887	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_johnsonii-t__SGB15887	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_johnsonii	SGB15887
SGB15888	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_naeslundii-t__SGB15888	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_naeslundii	SGB15888
SGB15892	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinobaculum-s__Actinobaculum_sp_oral_taxon_183-t__SGB15892	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinobaculum	Actinobaculum_sp_oral_taxon_183	SGB15892
SGB15894	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomycetaceae_unclassified-s__Actinomycetaceae_bacterium_BA112-t__SGB15894	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomycetaceae_unclassified	Actinomycetaceae_bacterium_BA112	SGB15894
SGB15896	uSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Propionibacteriales-f__Propionibacteriaceae-g__GGB10022-s__GGB10022_SGB15896-t__SGB15896	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	GGB10022	GGB10022_SGB15896	SGB15896
SGB15897	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Propionibacteriales-f__Propionibacteriaceae-g__Pseudopropionibacterium-s__Pseudopropionibacterium_propionicum-t__SGB15897	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	Pseudopropionibacterium_propionicum	SGB15897
SGB15899	uSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Propionibacteriales-f__Propionibacteriaceae-g__Pseudopropionibacterium-s__Pseudopropionibacterium_SGB15899-t__SGB15899	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Pseudopropionibacterium	Pseudopropionibacterium_SGB15899	SGB15899
SGB16955	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Propionibacteriales-f__Propionibacteriaceae-g__Cutibacterium-s__Cutibacterium_acnes-t__SGB16955	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium_acnes	SGB16955
SGB16986	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Micrococcaceae-g__Rothia-s__Rothia_mucilaginosa-t__SGB16986	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_mucilaginosa	SGB16986
SGB16987	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Micrococcaceae-g__Rothia-s__Rothia_aeria-t__SGB16987	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_aeria	SGB16987
SGB16988	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Micrococcaceae-g__Rothia-s__Rothia_dentocariosa-t__SGB16988	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia	Rothia_dentocariosa	SGB16988
SGB17007	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Corynebacteriales-f__Corynebacteriaceae-g__Corynebacterium-s__Corynebacterium_matruchotii-t__SGB17007	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_matruchotii	SGB17007
SGB17008	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Corynebacteriales-f__Corynebacteriaceae-g__Corynebacterium-s__Corynebacterium_durum-t__SGB17008	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_durum	SGB17008
SGB17130	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_graevenitzii-t__SGB17130	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_graevenitzii	SGB17130
SGB17148	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_hongkongensis-t__SGB17148	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_hongkongensis	SGB17148
SGB17151	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Dermacoccaceae-g__Kytococcus-s__Kytococcus_sedentarius-t__SGB17151	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Dermacoccaceae	Kytococcus	Kytococcus_sedentarius	SGB17151
SGB17152	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_bouchesdurhonensis-t__SGB17152	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_bouchesdurhonensis	SGB17152
SGB17153	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Micrococcales-f__Promicromonosporaceae-g__Isoptericola-s__Isoptericola_variabilis-t__SGB17153	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Isoptericola	Isoptericola_variabilis	SGB17153
SGB17156	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Schaalia-s__Schaalia_odontolytica-t__SGB17156	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_odontolytica	SGB17156
SGB17167	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_ICM47-t__SGB17167	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_ICM47	SGB17167
SGB17168	uSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_SGB17168-t__SGB17168	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_SGB17168	SGB17168
SGB17169	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Actinomycetales-f__Actinomycetaceae-g__Actinomyces-s__Actinomyces_sp_ICM58-t__SGB17169	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_sp_ICM58	SGB17169
SGB17248	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Bifidobacteriales-f__Bifidobacteriaceae-g__Bifidobacterium-s__Bifidobacterium_longum-t__SGB17248	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum	SGB17248
SGB19290	uSGB	k__Bacteria-p__Proteobacteria-c__CFGB4196-o__OFGB4196-f__FGB4196-g__GGB12441-s__GGB12441_SGB19290-t__SGB19290	Bacteria	Proteobacteria	CFGB4196	OFGB4196	FGB4196	GGB12441	GGB12441_SGB19290	SGB19290
SGB19300	kSGB	k__Bacteria-p__Proteobacteria-c__Epsilonproteobacteria-o__Campylobacterales-f__Campylobacteraceae-g__Campylobacter-s__Campylobacter_gracilis-t__SGB19300	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_gracilis	SGB19300
SGB19313	uSGB	k__Bacteria-p__Proteobacteria-c__Epsilonproteobacteria-o__Campylobacterales-f__Campylobacteraceae-g__GGB12443-s__GGB12443_SGB19313-t__SGB19313	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	GGB12443	GGB12443_SGB19313	SGB19313
SGB19315	kSGB	k__Bacteria-p__Proteobacteria-c__Epsilonproteobacteria-o__Campylobacterales-f__Campylobacteraceae-g__Campylobacter-s__Campylobacter_rectus-t__SGB19315	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_rectus	SGB19315
